text,label
putangina na gets ko yung partnership haha pwede na ako matulog yay,0
nagugutom ako punyeta,0
punyeta para kanino ba talaga kayo,0
ulol manigas ka,1
putangina mo di sapat yung pakyu pakyu lang,1
yung sinabihan ako ng bobo ng player namen sa early game,1
kupal din ako kaya wag ako,0
kahit bobo mo pumana,1
bwiset ayoko na,0
haha punyeta kayo,0
bwiset ka hoy,1
malungkot na nga ako tapos bobo pa ako ano perfect combination ka beh haha,0
di kami talo ni lm pucha haha,0
move on daw si tanga awra haha pero ilang bean lang mag mamakaawa nanaman kay zebby yan haha,1
exam na naman sa major pucha,0
ano yan tanga wala din akong load,0
nahihilo na ako punyeta,0
shan zamoro mabango mabait tarantado mahilig magbasa,1
tanga ni pia mamamatay ako eh,1
kupal dami mo kill sa dr haha,0
ang hirap kumain huhu bwiset na wisdom tooth,0
tangina nang lalamig ako,0
hindi yung gumawa ka pa ng memories bago ka umalis haha tanga,0
kita ko si aj dito sa ibbara pakyu agad bungad haha,0
tarantado talaga si jheld at aj,0
tangina niyong mga ulol palibhasa manok lang alam nyong alagaan kaya salbahe kayo sa aso eh,1
tagal mapuno ng jeep punyeta hulas na pagkatao ko,0
deserve mo rin yang magkalagnat masakit lalamunan at sinisipon pakyu,1
hindi nga ako nagkakanin puro naman candy pinagkakain ko puta,0
nagpapapansin parin pala si asong ulol dabid,1
puta nakailang hampas na siya,0
ate may bwiset nanaman sa kabilang baranggay,1
tangina sinabihang panget pero in a sosyal way,0
tangina mo pwede bang sa akin ka lang,0
ang kupal nito,1
huy pasabi naman ako kung mag unfollow kayo mga tarantado,1
tarantado ka cy,0
bwiset lagi nandon yung manyak na lalaki nakakatakot na,0
ang hirap naman makipag unahan sa snazzymnla pucha,0
ako ulol na ulol sayo,0
puta panandaliang saya haha,0
sa promise ni maam pakyu,1
kakainis ka pa ah tanga gamit ko yan kukunin mo,1
tangina mo skusta shit at sa bago mong jowa kupal mga demonyo proud pa kayo mga animal napaka insensitive niyo kakalaglag lang ng baby ni zeb mga walang puso proud pa kayo sa social media na kayo talaga eh no once a pokpok always a pokpok talaga grr kala mo naman magtatagal sila,1
gago kinikilig nanaman ako punyeta,0
sabi na eh gago ka talaga pucha,1
di lang ikaw by juris beh putangina ily,0
alam para akong tanga dito sa twitter alam mo yon haha,0
tanginang buhay itoh bwiset,0
bobo po talaga ako,0
putangina talaga kayo,1
punyeta twitter kung ayaw mo mag play ng vids edi wag shuta haha,0
pakshet yung mga ex na gumagamit ng family card hmp sino ba naman kami diba syempre babalik yan,1
pagkatapos iwan ng ilang taon ay di na ibabalik sa nag hirap eh kupal,0
huy para kayong tanga seryoso ba ito,0
tangina mo haha,0
wala nagmukha tuloy ako tanga,0
pakyu hindi nga kasi ako yun,0
pucha teh gamit na gamit ang pepe ni gaga,0
lmao formal attire haha di bagay sakin mukha akong tanga,0
puta dalawang buwan pa,0
kailangan ko na humagilap ng pera puta ubos ata laman ng gcash ko neto ah haha,0
ikaw tanga ka ba,1
pansin ko nga pakyu ka haha,0
gusto ko nalang maging logo ng nike pucha naman,0
tangina hanggang ngayon isip bata ka parin tsk tsk kawawang nilalang,1
naghintay na naman ako sa tanga,1
ulol na ulol na naman ako sa smf tsaka hindi sa pagiging bias pero sana ayusin naman yung pag judge yun lang,0
punyeta sino ba yang nagsusunog,0
yung whisper puta normal bang nakakakiliti yun,0
hala pakshet ang pretty mo naiiyak ako awit,0
